,PV1_passo=1e-1_imp,PV1_passo=1e-1_exp,PV1_passo=1e-2_imp,PV1_passo=1e-2_exp,PV1_passo=1e-3_imp,PV1_passo=1e-3_exp,PV2_passo=1e-1_imp,PV2_passo=1e-1_exp,PV2_passo=1e-2_imp,PV2_passo=1e-2_exp,PV2_passo=1e-3_imp,PV2_passo=1e-3_exp,PV3_passo=1e-1_imp,PV3_passo=1e-1_exp,PV3_passo=1e-2_imp,PV3_passo=1e-2_exp,PV3_passo=1e-3_imp,PV3_passo=1e-3_exp
0,8.487701416015625e-05,3.2901763916015625e-05,0.00032591819763183594,0.00012540817260742188,0.003381013870239258,0.0012738704681396484,0.0002951622009277344,0.000141143798828125,0.0012729167938232422,0.0003056526184082031,0.012386083602905273,0.004395723342895508,7.653236389160156e-05,2.7179718017578125e-05,0.0003688335418701172,0.00012302398681640625,0.002913236618041992,0.0010449886322021484
1,7.987022399902344e-05,2.6702880859375e-05,0.0003349781036376953,0.000118255615234375,0.004801750183105469,0.0011181831359863281,0.00029754638671875,8.320808410644531e-05,0.0012705326080322266,0.0002830028533935547,0.012523412704467773,0.003222942352294922,7.224082946777344e-05,2.384185791015625e-05,0.00031280517578125,0.00011992454528808594,0.00292205810546875,0.0015811920166015625
2,7.748603820800781e-05,2.2649765014648438e-05,0.00036525726318359375,0.00010013580322265625,0.0033168792724609375,0.0011448860168457031,0.00029468536376953125,7.009506225585938e-05,0.0012652873992919922,0.0003123283386230469,0.012291431427001953,0.0026564598083496094,8.58306884765625e-05,2.2411346435546875e-05,0.0003037452697753906,9.393692016601562e-05,0.0028307437896728516,0.000986337661743164
3,9.5367431640625e-05,2.3603439331054688e-05,0.00032138824462890625,0.00010967254638671875,0.0033571720123291016,0.0010294914245605469,0.0002760887145996094,6.699562072753906e-05,0.001271963119506836,0.0002789497375488281,0.012565374374389648,0.0026569366455078125,5.9604644775390625e-05,2.0265579223632812e-05,0.00033736228942871094,9.799003601074219e-05,0.0028002262115478516,0.0009987354278564453
4,6.580352783203125e-05,2.288818359375e-05,0.0003254413604736328,0.00010061264038085938,0.003216266632080078,0.0010640621185302734,0.0002646446228027344,7.581710815429688e-05,0.0012900829315185547,0.0002720355987548828,0.012542009353637695,0.0026535987854003906,5.7697296142578125e-05,2.002716064453125e-05,0.00029754638671875,9.584426879882812e-05,0.0027556419372558594,0.0009775161743164062
5,6.437301635742188e-05,2.3126602172851562e-05,0.00037550926208496094,0.00010442733764648438,0.0036063194274902344,0.0010242462158203125,0.0002589225769042969,6.556510925292969e-05,0.0012595653533935547,0.0002868175506591797,0.013294696807861328,0.002995014190673828,5.7220458984375e-05,1.8835067749023438e-05,0.0002961158752441406,0.0001266002655029297,0.0028450489044189453,0.000978231430053711
6,6.198883056640625e-05,2.0742416381835938e-05,0.0003216266632080078,0.00010704994201660156,0.003307819366455078,0.0011072158813476562,0.00017070770263671875,6.270408630371094e-05,0.001234292984008789,0.0002779960632324219,0.01906609535217285,0.0026862621307373047,5.9604644775390625e-05,2.09808349609375e-05,0.0003609657287597656,9.226799011230469e-05,0.002846240997314453,0.0009586811065673828
7,7.295608520507812e-05,2.5272369384765625e-05,0.00033593177795410156,0.00010013580322265625,0.0032739639282226562,0.0010464191436767578,0.00015497207641601562,4.458427429199219e-05,0.0012350082397460938,0.0003185272216796875,0.016885042190551758,0.004755258560180664,5.7697296142578125e-05,1.4543533325195312e-05,0.00030732154846191406,9.441375732421875e-05,0.0032782554626464844,0.0013058185577392578
8,6.699562072753906e-05,2.1696090698242188e-05,0.0003628730773925781,0.0001010894775390625,0.003269672393798828,0.0012323856353759766,0.00016450881958007812,7.128715515136719e-05,0.001249074935913086,0.0003108978271484375,0.012463808059692383,0.0026984214782714844,5.5789947509765625e-05,2.0742416381835938e-05,0.00030612945556640625,9.298324584960938e-05,0.002814769744873047,0.0009918212890625
9,5.125999450683594e-05,1.5497207641601562e-05,0.0003247261047363281,0.00010848045349121094,0.0032913684844970703,0.0010254383087158203,0.0001971721649169922,4.124641418457031e-05,0.0014140605926513672,0.0002875328063964844,0.01320648193359375,0.0033178329467773438,5.507469177246094e-05,2.765655517578125e-05,0.00029969215393066406,9.393692016601562e-05,0.0028014183044433594,0.0009713172912597656
