,PV1_p=1e-1_imp,PV1_p=1e-1_exp,PV1_p=1e-2_imp,PV1_p=1e-2_exp,PV1_p=1e-3_imp,PV1_p=1e-3_exp,PV1_p=1e-4_imp,PV1_p=1e-4_exp,PV1_p=1e-5_imp,PV1_p=1e-5_exp,PV2_p=1e-1_imp,PV2_p=1e-1_exp,PV2_p=1e-2_imp,PV2_p=1e-2_exp,PV2_p=1e-3_imp,PV2_p=1e-3_exp,PV2_p=1e-4_imp,PV2_p=1e-4_exp,PV2_p=1e-5_imp,PV2_p=1e-5_exp,PV3_p=1e-1_imp,PV3_p=1e-1_exp,PV3_p=1e-2_imp,PV3_p=1e-2_exp,PV3_p=1e-3_imp,PV3_p=1e-3_exp,PV3_p=1e-4_imp,PV3_p=1e-4_exp,PV3_p=1e-5_imp,PV3_p=1e-5_exp
0,9.298324584960938e-05,3.24249267578125e-05,0.0003800392150878906,0.0002079010009765625,0.005120754241943359,0.0012085437774658203,0.03295016288757324,0.011414289474487305,0.3275313377380371,0.1075131893157959,0.0002982616424560547,0.00015234947204589844,0.0012581348419189453,0.0003151893615722656,0.012198448181152344,0.002597808837890625,0.12729978561401367,0.028990745544433594,1.8316147327423096,0.48199987411499023,8.344650268554688e-05,2.574920654296875e-05,0.0005238056182861328,0.0001697540283203125,0.002759218215942383,0.001001119613647461,0.02824878692626953,0.010823726654052734,0.2957608699798584,0.09940409660339355
1,0.00010633468627929688,2.6226043701171875e-05,0.0003402233123779297,0.000133514404296875,0.003348827362060547,0.001157522201538086,0.032715559005737305,0.011017560958862305,0.6323864459991455,0.19460034370422363,0.0002543926239013672,7.677078247070312e-05,0.0012755393981933594,0.00027680397033691406,0.01237177848815918,0.003061532974243164,0.12436676025390625,0.026938676834106445,1.2884509563446045,0.27995920181274414,8.106231689453125e-05,2.47955322265625e-05,0.0003440380096435547,0.00010323524475097656,0.00286865234375,0.0012776851654052734,0.027888059616088867,0.01010584831237793,0.28589415550231934,0.09658646583557129
2,9.322166442871094e-05,2.47955322265625e-05,0.0003552436828613281,0.00010371208190917969,0.003217935562133789,0.0010602474212646484,0.03331804275512695,0.010824918746948242,0.6101384162902832,0.21315288543701172,0.00018334388732910156,6.723403930664062e-05,0.0012714862823486328,0.0002777576446533203,0.01275491714477539,0.002702951431274414,0.1383984088897705,0.02690887451171875,1.264627456665039,0.28330516815185547,6.580352783203125e-05,3.3855438232421875e-05,0.0003044605255126953,9.489059448242188e-05,0.0027484893798828125,0.0009500980377197266,0.028891563415527344,0.010175466537475586,0.29006457328796387,0.11445236206054688
3,7.867813110351562e-05,2.5033950805664062e-05,0.0003292560577392578,0.00010251998901367188,0.0031790733337402344,0.0010116100311279297,0.04007720947265625,0.011636018753051758,0.571234941482544,0.214752197265625,0.00017404556274414062,8.58306884765625e-05,0.0012521743774414062,0.0002765655517578125,0.012983083724975586,0.002706766128540039,0.12945818901062012,0.02633380889892578,1.265373706817627,0.27635979652404785,6.628036499023438e-05,2.2411346435546875e-05,0.00029206275939941406,9.441375732421875e-05,0.0027501583099365234,0.0009458065032958984,0.029124975204467773,0.010532379150390625,0.2930026054382324,0.10830831527709961
4,6.103515625e-05,3.886222839355469e-05,0.00032329559326171875,0.00012183189392089844,0.004746437072753906,0.0010287761688232422,0.033173561096191406,0.016154050827026367,0.3409290313720703,0.10916590690612793,0.00015735626220703125,4.9591064453125e-05,0.0012593269348144531,0.00028586387634277344,0.023758888244628906,0.002947092056274414,0.12466788291931152,0.0267941951751709,1.2793407440185547,0.28376197814941406,7.462501525878906e-05,2.2172927856445312e-05,0.0003070831298828125,9.655952453613281e-05,0.0027458667755126953,0.0009348392486572266,0.028416156768798828,0.009998083114624023,0.3010129928588867,0.11101222038269043
5,6.318092346191406e-05,2.2172927856445312e-05,0.00034999847412109375,0.00010037422180175781,0.003553152084350586,0.001088857650756836,0.032149553298950195,0.010726213455200195,0.3293313980102539,0.11537456512451172,0.0001952648162841797,4.220008850097656e-05,0.0012385845184326172,0.0002892017364501953,0.012747764587402344,0.002953052520751953,0.1288161277770996,0.026259183883666992,1.2768383026123047,0.28011608123779297,6.318092346191406e-05,2.9802322387695312e-05,0.00029206275939941406,9.489059448242188e-05,0.0027992725372314453,0.0009365081787109375,0.028963088989257812,0.010229825973510742,0.28487586975097656,0.1085669994354248
6,6.651878356933594e-05,2.3603439331054688e-05,0.00032520294189453125,9.942054748535156e-05,0.003300189971923828,0.001046895980834961,0.03223848342895508,0.010488271713256836,0.32852721214294434,0.1296372413635254,0.00017976760864257812,4.887580871582031e-05,0.0012850761413574219,0.0002791881561279297,0.012337684631347656,0.0027246475219726562,0.1242525577545166,0.027018308639526367,1.2624576091766357,0.279094934463501,6.008148193359375e-05,2.2411346435546875e-05,0.00032806396484375,9.965896606445312e-05,0.002771615982055664,0.0009405612945556641,0.02876114845275879,0.010494470596313477,0.32185983657836914,0.11232185363769531
7,6.67572021484375e-05,2.3603439331054688e-05,0.00036025047302246094,9.870529174804688e-05,0.003480195999145508,0.0010645389556884766,0.03411507606506348,0.010565757751464844,0.34516119956970215,0.10924649238586426,0.00015306472778320312,4.506111145019531e-05,0.0012559890747070312,0.0002803802490234375,0.014339447021484375,0.0027017593383789062,0.1650850772857666,0.026828527450561523,2.2100539207458496,0.4503021240234375,7.05718994140625e-05,2.2649765014648438e-05,0.0002951622009277344,0.00011086463928222656,0.0028111934661865234,0.0009260177612304688,0.04251813888549805,0.010096073150634766,0.5381872653961182,0.19576740264892578
8,6.29425048828125e-05,2.1696090698242188e-05,0.00036454200744628906,0.00011229515075683594,0.003209829330444336,0.00107574462890625,0.032485246658325195,0.010768890380859375,0.3655414581298828,0.10560917854309082,0.00015163421630859375,4.1484832763671875e-05,0.0012516975402832031,0.00028061866760253906,0.012271642684936523,0.0026633739471435547,0.2438366413116455,0.047959327697753906,1.257371187210083,0.27762889862060547,7.700920104980469e-05,2.1219253540039062e-05,0.00027179718017578125,9.34600830078125e-05,0.0027990341186523438,0.0010633468627929688,0.03016185760498047,0.011202573776245117,0.5211002826690674,0.19347429275512695
9,6.198883056640625e-05,2.2172927856445312e-05,0.0003197193145751953,0.00010204315185546875,0.003225564956665039,0.0010116100311279297,0.03609442710876465,0.010954141616821289,0.3278663158416748,0.11766624450683594,0.00015354156494140625,4.76837158203125e-05,0.0012629032135009766,0.0003044605255126953,0.012923479080200195,0.0027039051055908203,0.2358076572418213,0.04774594306945801,1.276068925857544,0.27137064933776855,5.817413330078125e-05,2.002716064453125e-05,0.0002810955047607422,9.512901306152344e-05,0.013581275939941406,0.0009987354278564453,0.03353524208068848,0.010003089904785156,0.526930570602417,0.19499754905700684
