,PV1_passo=1e-1_imp,PV1_passo=1e-1_exp,PV1_passo=1e-2_imp,PV1_passo=1e-2_exp,PV1_passo=1e-3_imp,PV1_passo=1e-3_exp,PV1_passo=1e-4_imp,PV1_passo=1e-4_exp,PV2_passo=1e-1_imp,PV2_passo=1e-1_exp,PV2_passo=1e-2_imp,PV2_passo=1e-2_exp,PV2_passo=1e-3_imp,PV2_passo=1e-3_exp,PV2_passo=1e-4_imp,PV2_passo=1e-4_exp,PV3_passo=1e-1_imp,PV3_passo=1e-1_exp,PV3_passo=1e-2_imp,PV3_passo=1e-2_exp,PV3_passo=1e-3_imp,PV3_passo=1e-3_exp,PV3_passo=1e-4_imp,PV3_passo=1e-4_exp
0,8.916854858398438e-05,2.288818359375e-05,0.0003528594970703125,0.0001475811004638672,0.003354310989379883,0.004345893859863281,0.035659074783325195,0.01178431510925293,0.0002961158752441406,0.00024127960205078125,0.002189159393310547,0.0004744529724121094,0.022098779678344727,0.004545450210571289,0.2310636043548584,0.05038857460021973,7.796287536621094e-05,2.86102294921875e-05,0.00035309791564941406,0.00011444091796875,0.0030112266540527344,0.0010051727294921875,0.02880120277404785,0.009971857070922852
1,5.078315734863281e-05,1.71661376953125e-05,0.0003387928009033203,0.0001201629638671875,0.0033605098724365234,0.0013072490692138672,0.03411293029785156,0.011928319931030273,0.00026798248291015625,6.747245788574219e-05,0.002177000045776367,0.000484466552734375,0.022101879119873047,0.0077762603759765625,0.2284531593322754,0.050278663635253906,7.653236389160156e-05,2.5033950805664062e-05,0.0003142356872558594,0.00010323524475097656,0.003362417221069336,0.00156402587890625,0.030504465103149414,0.011733055114746094
2,5.793571472167969e-05,1.8596649169921875e-05,0.0003452301025390625,0.0001513957977294922,0.003276348114013672,0.0011103153228759766,0.034913063049316406,0.01205754280090332,0.00027632713317871094,6.270408630371094e-05,0.0021653175354003906,0.0004658699035644531,0.02264547348022461,0.00527501106262207,0.18479681015014648,0.04840993881225586,6.103515625e-05,2.3126602172851562e-05,0.00030159950256347656,9.34600830078125e-05,0.002774477005004883,0.000978708267211914,0.027663707733154297,0.01013040542602539
3,6.437301635742188e-05,2.3126602172851562e-05,0.0003330707550048828,0.00010156631469726562,0.003306150436401367,0.00104522705078125,0.03286004066467285,0.010696649551391602,0.0014271736145019531,6.079673767089844e-05,0.0021669864654541016,0.0004680156707763672,0.021555185317993164,0.004557132720947266,0.12286734580993652,0.026721715927124023,6.699562072753906e-05,2.1696090698242188e-05,0.00030875205993652344,9.5367431640625e-05,0.002870321273803711,0.0009980201721191406,0.028725385665893555,0.01148676872253418
4,5.316734313964844e-05,2.1219253540039062e-05,0.00032782554626464844,0.00010347366333007812,0.0031888484954833984,0.0010783672332763672,0.03466057777404785,0.010530948638916016,0.00025963783264160156,7.128715515136719e-05,0.0022177696228027344,0.00046896934509277344,0.02213287353515625,0.004449605941772461,0.14235663414001465,0.028197288513183594,8.296966552734375e-05,2.0503997802734375e-05,0.00030350685119628906,9.322166442871094e-05,0.002808809280395508,0.0009779930114746094,0.02800750732421875,0.009994745254516602
5,5.745887756347656e-05,4.1484832763671875e-05,0.0003304481506347656,0.00011110305786132812,0.0032393932342529297,0.0010311603546142578,0.03302621841430664,0.011046409606933594,0.0002593994140625,6.270408630371094e-05,0.002154111862182617,0.0004858970642089844,0.022132396697998047,0.004594326019287109,0.1322927474975586,0.029902219772338867,6.246566772460938e-05,1.9550323486328125e-05,0.0003428459167480469,9.489059448242188e-05,0.0028688907623291016,0.0009577274322509766,0.028260469436645508,0.009966135025024414
6,6.771087646484375e-05,2.384185791015625e-05,0.0003674030303955078,0.00010061264038085938,0.003256082534790039,0.0010533332824707031,0.032946109771728516,0.01264643669128418,0.0002570152282714844,5.984306335449219e-05,0.0021517276763916016,0.0005011558532714844,0.02257990837097168,0.004620552062988281,0.1268479824066162,0.0283205509185791,5.745887756347656e-05,2.1696090698242188e-05,0.0003018379211425781,0.00010251998901367188,0.0028285980224609375,0.0009441375732421875,0.02955031394958496,0.011342048645019531
7,6.103515625e-05,2.384185791015625e-05,0.000324249267578125,0.00010013580322265625,0.0031805038452148438,0.0010373592376708984,0.034902334213256836,0.011268854141235352,0.0002589225769042969,7.081031799316406e-05,0.002195596694946289,0.0005292892456054688,0.0267331600189209,0.004718780517578125,0.12676644325256348,0.026751279830932617,5.817413330078125e-05,2.2172927856445312e-05,0.0003046989440917969,0.0001251697540283203,0.0027632713317871094,0.0009543895721435547,0.029967308044433594,0.00982213020324707
8,6.103515625e-05,4.0531158447265625e-05,0.00033164024353027344,0.0001010894775390625,0.003223419189453125,0.0010900497436523438,0.034363508224487305,0.012288808822631836,0.00025343894958496094,7.224082946777344e-05,0.0021674633026123047,0.00046062469482421875,0.024496078491210938,0.005438327789306641,0.12699675559997559,0.027447223663330078,5.269050598144531e-05,3.600120544433594e-05,0.0003681182861328125,9.632110595703125e-05,0.002898693084716797,0.0009608268737792969,0.028400421142578125,0.010294437408447266
9,5.7697296142578125e-05,2.4080276489257812e-05,0.0003609657287597656,0.00010085105895996094,0.0031282901763916016,0.0010936260223388672,0.03804373741149902,0.010848760604858398,0.00025081634521484375,5.984306335449219e-05,0.0021560192108154297,0.00047016143798828125,0.0235748291015625,0.004635334014892578,0.12459754943847656,0.027073144912719727,6.008148193359375e-05,2.0503997802734375e-05,0.00030922889709472656,9.34600830078125e-05,0.002880096435546875,0.0009515285491943359,0.028301715850830078,0.010553836822509766
