
Método de Euler Explícito: 
x	y
0.000000	0.000000
0.010000	0.000000
0.020000	0.044328
0.030000	0.127695
0.040000	0.241363
0.050000	0.373928
0.060000	0.512334
0.070000	0.643041
0.080000	0.753231
0.090000	0.831954
0.100000	0.871102
0.110000	0.866137
0.120000	0.816491
0.130000	0.725618
0.140000	0.600685
0.150000	0.451928
0.160000	0.291741
0.170000	0.133564
0.180000	-0.009315
0.190000	-0.124951
0.200000	-0.203805
0.210000	-0.239603
0.220000	-0.229893
0.230000	-0.176265
0.240000	-0.084211
0.250000	0.037366
0.260000	0.176945
0.270000	0.321418
0.280000	0.457259
0.290000	0.571731
0.300000	0.654024
0.310000	0.696221
0.320000	0.694003
0.330000	0.647034
0.340000	0.558992
0.350000	0.437241
0.360000	0.292170
0.370000	0.136264
0.380000	-0.017007
0.390000	-0.154396
0.400000	-0.264061
0.410000	-0.336625
0.420000	-0.366011
0.430000	-0.349988
0.440000	-0.290367
0.450000	-0.192845
0.460000	-0.066492
0.470000	0.077057
0.480000	0.224642
0.490000	0.362751
0.500000	0.478731
0.510000	0.561912
0.520000	0.604566
0.530000	0.602592
0.540000	0.555885
0.550000	0.468346
0.560000	0.347527
0.570000	0.203966
0.580000	0.050238
0.590000	-0.100168
0.600000	-0.234051
0.610000	-0.339677
0.620000	-0.407833
0.630000	-0.432644
0.640000	-0.412101
0.650000	-0.348241
0.660000	-0.246963
0.670000	-0.117503
0.680000	0.028391
0.690000	0.177508
0.700000	0.316356
0.710000	0.432363
0.720000	0.515006
0.730000	0.556743
0.740000	0.553694
0.750000	0.505983
0.760000	0.417727
0.770000	0.296671
0.780000	0.153493
0.790000	0.000851
0.800000	-0.147747
0.810000	-0.279152
0.820000	-0.381744
0.830000	-0.446476
0.840000	-0.467679
0.850000	-0.443567
0.860000	-0.376401
0.870000	-0.272284
0.880000	-0.140616
0.890000	0.006746
0.900000	0.156542
0.910000	0.295302
0.920000	0.410543
0.930000	0.491883
0.940000	0.531974
0.950000	0.527155
0.960000	0.477777
0.970000	0.388175
0.980000	0.266280
0.990000	0.122908
1.000000	-0.029202
