
Método de Euler Implícito: 
x	y
0.000000	0.000000
0.010000	0.190476
0.020000	0.371882
0.030000	0.544650
0.040000	0.709190
0.050000	0.865895
0.060000	1.015138
0.070000	1.157275
0.080000	1.292643
0.090000	1.421564
0.100000	1.544347
0.110000	1.661283
0.120000	1.772650
0.130000	1.878715
0.140000	1.979728
0.150000	2.075932
0.160000	2.167554
0.170000	2.254813
0.180000	2.337917
0.190000	2.417064
0.200000	2.492442
0.210000	2.564231
0.220000	2.632601
0.230000	2.697715
0.240000	2.759728
0.250000	2.818789
0.260000	2.875037
0.270000	2.928607
0.280000	2.979625
0.290000	3.028215
0.300000	3.074490
0.310000	3.118562
0.320000	3.160535
0.330000	3.200510
0.340000	3.238581
0.350000	3.274839
0.360000	3.309370
0.370000	3.342257
0.380000	3.373579
0.390000	3.403408
0.400000	3.431817
0.410000	3.458874
0.420000	3.484642
0.430000	3.509182
0.440000	3.532555
0.450000	3.554814
0.460000	3.576013
0.470000	3.596203
0.480000	3.615432
0.490000	3.633744
0.500000	3.651185
0.510000	3.667795
0.520000	3.683615
0.530000	3.698681
0.540000	3.713029
0.550000	3.726694
0.560000	3.739709
0.570000	3.752104
0.580000	3.763908
0.590000	3.775151
0.600000	3.785858
0.610000	3.796055
0.620000	3.805767
0.630000	3.815016
0.640000	3.823825
0.650000	3.832214
0.660000	3.840204
0.670000	3.847813
0.680000	3.855060
0.690000	3.861962
0.700000	3.868535
0.710000	3.874796
0.720000	3.880758
0.730000	3.886436
0.740000	3.891844
0.750000	3.896994
0.760000	3.901899
0.770000	3.906571
0.780000	3.911020
0.790000	3.915257
0.800000	3.919292
0.810000	3.923135
0.820000	3.926796
0.830000	3.930281
0.840000	3.933601
0.850000	3.936763
0.860000	3.939775
0.870000	3.942642
0.880000	3.945374
0.890000	3.947975
0.900000	3.950452
0.910000	3.952812
0.920000	3.955059
0.930000	3.957199
0.940000	3.959237
0.950000	3.961178
0.960000	3.963027
0.970000	3.964787
0.980000	3.966464
0.990000	3.968061
1.000000	3.969582
