
Método de Euler Explícito: 
x	y
0.000000	0.000000
0.010000	0.200000
0.020000	0.390000
0.030000	0.570500
0.040000	0.741975
0.050000	0.904876
0.060000	1.059632
0.070000	1.206651
0.080000	1.346318
0.090000	1.479002
0.100000	1.605052
0.110000	1.724800
0.120000	1.838560
0.130000	1.946632
0.140000	2.049300
0.150000	2.146835
0.160000	2.239493
0.170000	2.327519
0.180000	2.411143
0.190000	2.490586
0.200000	2.566056
0.210000	2.637753
0.220000	2.705866
0.230000	2.770573
0.240000	2.832044
0.250000	2.890442
0.260000	2.945920
0.270000	2.998624
0.280000	3.048692
0.290000	3.096258
0.300000	3.141445
0.310000	3.184373
0.320000	3.225154
0.330000	3.263896
0.340000	3.300702
0.350000	3.335666
0.360000	3.368883
0.370000	3.400439
0.380000	3.430417
0.390000	3.458896
0.400000	3.485951
0.410000	3.511654
0.420000	3.536071
0.430000	3.559268
0.440000	3.581304
0.450000	3.602239
0.460000	3.622127
0.470000	3.641021
0.480000	3.658970
0.490000	3.676021
0.500000	3.692220
0.510000	3.707609
0.520000	3.722229
0.530000	3.736117
0.540000	3.749311
0.550000	3.761846
0.560000	3.773753
0.570000	3.785066
0.580000	3.795813
0.590000	3.806022
0.600000	3.815721
0.610000	3.824935
0.620000	3.833688
0.630000	3.842004
0.640000	3.849903
0.650000	3.857408
0.660000	3.864538
0.670000	3.871311
0.680000	3.877745
0.690000	3.883858
0.700000	3.889665
0.710000	3.895182
0.720000	3.900423
0.730000	3.905402
0.740000	3.910132
0.750000	3.914625
0.760000	3.918894
0.770000	3.922949
0.780000	3.926802
0.790000	3.930462
0.800000	3.933939
0.810000	3.937242
0.820000	3.940379
0.830000	3.943361
0.840000	3.946192
0.850000	3.948883
0.860000	3.951439
0.870000	3.953867
0.880000	3.956173
0.890000	3.958365
0.900000	3.960447
0.910000	3.962424
0.920000	3.964303
0.930000	3.966088
0.940000	3.967783
0.950000	3.969394
0.960000	3.970925
0.970000	3.972378
0.980000	3.973759
0.990000	3.975071
1.000000	3.976318
