
Método de Euler Explícito: 
x	y
0.000000	0.000000
0.001000	0.000000
0.002000	0.000450
0.003000	0.001348
0.004000	0.002692
0.005000	0.004480
0.006000	0.006708
0.007000	0.009373
0.008000	0.012472
0.009000	0.016000
0.010000	0.019953
0.011000	0.024326
0.012000	0.029114
0.013000	0.034310
0.014000	0.039910
0.015000	0.045907
0.016000	0.052294
0.017000	0.059064
0.018000	0.066209
0.019000	0.073723
0.020000	0.081596
0.021000	0.089821
0.022000	0.098388
0.023000	0.107290
0.024000	0.116516
0.025000	0.126057
0.026000	0.135904
0.027000	0.146045
0.028000	0.156471
0.029000	0.167172
0.030000	0.178135
0.031000	0.189351
0.032000	0.200807
0.033000	0.212492
0.034000	0.224395
0.035000	0.236504
0.036000	0.248805
0.037000	0.261288
0.038000	0.273940
0.039000	0.286748
0.040000	0.299699
0.041000	0.312780
0.042000	0.325979
0.043000	0.339283
0.044000	0.352677
0.045000	0.366150
0.046000	0.379687
0.047000	0.393276
0.048000	0.406903
0.049000	0.420554
0.050000	0.434216
0.051000	0.447876
0.052000	0.461520
0.053000	0.475134
0.054000	0.488706
0.055000	0.502222
0.056000	0.515668
0.057000	0.529032
0.058000	0.542300
0.059000	0.555459
0.060000	0.568496
0.061000	0.581398
0.062000	0.594153
0.063000	0.606747
0.064000	0.619169
0.065000	0.631406
0.066000	0.643447
0.067000	0.655278
0.068000	0.666888
0.069000	0.678267
0.070000	0.689401
0.071000	0.700281
0.072000	0.710896
0.073000	0.721234
0.074000	0.731285
0.075000	0.741040
0.076000	0.750488
0.077000	0.759619
0.078000	0.768426
0.079000	0.776897
0.080000	0.785026
0.081000	0.792803
0.082000	0.800220
0.083000	0.807270
0.084000	0.813945
0.085000	0.820238
0.086000	0.826142
0.087000	0.831652
0.088000	0.836761
0.089000	0.841463
0.090000	0.845753
0.091000	0.849626
0.092000	0.853078
0.093000	0.856105
0.094000	0.858703
0.095000	0.860868
0.096000	0.862597
0.097000	0.863889
0.098000	0.864740
0.099000	0.865149
0.100000	0.865115
0.101000	0.864637
0.102000	0.863713
0.103000	0.862345
0.104000	0.860531
0.105000	0.858273
0.106000	0.855572
0.107000	0.852430
0.108000	0.848847
0.109000	0.844827
0.110000	0.840372
0.111000	0.835484
0.112000	0.830168
0.113000	0.824428
0.114000	0.818267
0.115000	0.811689
0.116000	0.804701
0.117000	0.797307
0.118000	0.789513
0.119000	0.781326
0.120000	0.772750
0.121000	0.763794
0.122000	0.754465
0.123000	0.744769
0.124000	0.734714
0.125000	0.724310
0.126000	0.713564
0.127000	0.702484
0.128000	0.691081
0.129000	0.679362
0.130000	0.667339
0.131000	0.655021
0.132000	0.642417
0.133000	0.629539
0.134000	0.616397
0.135000	0.603002
0.136000	0.589365
0.137000	0.575498
0.138000	0.561411
0.139000	0.547118
0.140000	0.532629
0.141000	0.517958
0.142000	0.503116
0.143000	0.488115
0.144000	0.472969
0.145000	0.457690
0.146000	0.442292
0.147000	0.426786
0.148000	0.411186
0.149000	0.395505
0.150000	0.379757
0.151000	0.363955
0.152000	0.348112
0.153000	0.332242
0.154000	0.316357
0.155000	0.300472
0.156000	0.284600
0.157000	0.268754
0.158000	0.252948
0.159000	0.237194
0.160000	0.221508
0.161000	0.205901
0.162000	0.190387
0.163000	0.174979
0.164000	0.159690
0.165000	0.144533
0.166000	0.129521
0.167000	0.114666
0.168000	0.099981
0.169000	0.085479
0.170000	0.071172
0.171000	0.057071
0.172000	0.043189
0.173000	0.029537
0.174000	0.016127
0.175000	0.002970
0.176000	-0.009923
0.177000	-0.022541
0.178000	-0.034874
0.179000	-0.046911
0.180000	-0.058642
0.181000	-0.070057
0.182000	-0.081148
0.183000	-0.091904
0.184000	-0.102317
0.185000	-0.112379
0.186000	-0.122080
0.187000	-0.131414
0.188000	-0.140371
0.189000	-0.148947
0.190000	-0.157132
0.191000	-0.164921
0.192000	-0.172307
0.193000	-0.179285
0.194000	-0.185848
0.195000	-0.191993
0.196000	-0.197713
0.197000	-0.203005
0.198000	-0.207865
0.199000	-0.212289
0.200000	-0.216273
0.201000	-0.219816
0.202000	-0.222914
0.203000	-0.225565
0.204000	-0.227768
0.205000	-0.229522
0.206000	-0.230825
0.207000	-0.231678
0.208000	-0.232079
0.209000	-0.232031
0.210000	-0.231532
0.211000	-0.230586
0.212000	-0.229192
0.213000	-0.227353
0.214000	-0.225072
0.215000	-0.222351
0.216000	-0.219193
0.217000	-0.215602
0.218000	-0.211582
0.219000	-0.207138
0.220000	-0.202273
0.221000	-0.196993
0.222000	-0.191303
0.223000	-0.185210
0.224000	-0.178719
0.225000	-0.171837
0.226000	-0.164571
0.227000	-0.156928
0.228000	-0.148915
0.229000	-0.140541
0.230000	-0.131814
0.231000	-0.122742
0.232000	-0.113334
0.233000	-0.103599
0.234000	-0.093547
0.235000	-0.083188
0.236000	-0.072530
0.237000	-0.061586
0.238000	-0.050364
0.239000	-0.038877
0.240000	-0.027134
0.241000	-0.015148
0.242000	-0.002929
0.243000	0.009510
0.244000	0.022159
0.245000	0.035004
0.246000	0.048034
0.247000	0.061237
0.248000	0.074599
0.249000	0.088108
0.250000	0.101751
0.251000	0.115516
0.252000	0.129389
0.253000	0.143357
0.254000	0.157407
0.255000	0.171526
0.256000	0.185701
0.257000	0.199917
0.258000	0.214162
0.259000	0.228423
0.260000	0.242684
0.261000	0.256935
0.262000	0.271159
0.263000	0.285346
0.264000	0.299480
0.265000	0.313549
0.266000	0.327539
0.267000	0.341438
0.268000	0.355231
0.269000	0.368907
0.270000	0.382451
0.271000	0.395852
0.272000	0.409097
0.273000	0.422173
0.274000	0.435067
0.275000	0.447768
0.276000	0.460264
0.277000	0.472543
0.278000	0.484592
0.279000	0.496402
0.280000	0.507959
0.281000	0.519254
0.282000	0.530276
0.283000	0.541014
0.284000	0.551458
0.285000	0.561598
0.286000	0.571424
0.287000	0.580927
0.288000	0.590098
0.289000	0.598928
0.290000	0.607408
0.291000	0.615530
0.292000	0.623287
0.293000	0.630670
0.294000	0.637673
0.295000	0.644289
0.296000	0.650511
0.297000	0.656333
0.298000	0.661749
0.299000	0.666754
0.300000	0.671342
0.301000	0.675510
0.302000	0.679253
0.303000	0.682566
0.304000	0.685447
0.305000	0.687892
0.306000	0.689898
0.307000	0.691463
0.308000	0.692586
0.309000	0.693264
0.310000	0.693497
0.311000	0.693283
0.312000	0.692623
0.313000	0.691516
0.314000	0.689963
0.315000	0.687965
0.316000	0.685523
0.317000	0.682638
0.318000	0.679313
0.319000	0.675551
0.320000	0.671354
0.321000	0.666725
0.322000	0.661668
0.323000	0.656187
0.324000	0.650286
0.325000	0.643971
0.326000	0.637247
0.327000	0.630118
0.328000	0.622591
0.329000	0.614672
0.330000	0.606368
0.331000	0.597686
0.332000	0.588633
0.333000	0.579217
0.334000	0.569445
0.335000	0.559326
0.336000	0.548869
0.337000	0.538083
0.338000	0.526976
0.339000	0.515558
0.340000	0.503839
0.341000	0.491830
0.342000	0.479539
0.343000	0.466979
0.344000	0.454160
0.345000	0.441092
0.346000	0.427787
0.347000	0.414257
0.348000	0.400514
0.349000	0.386568
0.350000	0.372433
0.351000	0.358120
0.352000	0.343642
0.353000	0.329012
0.354000	0.314242
0.355000	0.299345
0.356000	0.284333
0.357000	0.269221
0.358000	0.254021
0.359000	0.238746
0.360000	0.223410
0.361000	0.208026
0.362000	0.192607
0.363000	0.177166
0.364000	0.161718
0.365000	0.146276
0.366000	0.130853
0.367000	0.115462
0.368000	0.100117
0.369000	0.084832
0.370000	0.069619
0.371000	0.054492
0.372000	0.039463
0.373000	0.024547
0.374000	0.009756
0.375000	-0.004897
0.376000	-0.019399
0.377000	-0.033738
0.378000	-0.047902
0.379000	-0.061877
0.380000	-0.075652
0.381000	-0.089215
0.382000	-0.102554
0.383000	-0.115658
0.384000	-0.128514
0.385000	-0.141113
0.386000	-0.153443
0.387000	-0.165493
0.388000	-0.177253
0.389000	-0.188713
0.390000	-0.199863
0.391000	-0.210693
0.392000	-0.221194
0.393000	-0.231357
0.394000	-0.241173
0.395000	-0.250635
0.396000	-0.259732
0.397000	-0.268459
0.398000	-0.276808
0.399000	-0.284770
0.400000	-0.292341
0.401000	-0.299512
0.402000	-0.306279
0.403000	-0.312635
0.404000	-0.318576
0.405000	-0.324095
0.406000	-0.329190
0.407000	-0.333855
0.408000	-0.338086
0.409000	-0.341881
0.410000	-0.345236
0.411000	-0.348149
0.412000	-0.350617
0.413000	-0.352639
0.414000	-0.354213
0.415000	-0.355338
0.416000	-0.356014
0.417000	-0.356239
0.418000	-0.356016
0.419000	-0.355343
0.420000	-0.354223
0.421000	-0.352656
0.422000	-0.350644
0.423000	-0.348190
0.424000	-0.345295
0.425000	-0.341964
0.426000	-0.338199
0.427000	-0.334005
0.428000	-0.329384
0.429000	-0.324343
0.430000	-0.318885
0.431000	-0.313016
0.432000	-0.306742
0.433000	-0.300069
0.434000	-0.293002
0.435000	-0.285550
0.436000	-0.277718
0.437000	-0.269515
0.438000	-0.260948
0.439000	-0.252025
0.440000	-0.242754
0.441000	-0.233145
0.442000	-0.223206
0.443000	-0.212946
0.444000	-0.202375
0.445000	-0.191504
0.446000	-0.180342
0.447000	-0.168899
0.448000	-0.157186
0.449000	-0.145215
0.450000	-0.132995
0.451000	-0.120540
0.452000	-0.107859
0.453000	-0.094965
0.454000	-0.081870
0.455000	-0.068586
0.456000	-0.055126
0.457000	-0.041501
0.458000	-0.027724
0.459000	-0.013808
0.460000	0.000233
0.461000	0.014388
0.462000	0.028643
0.463000	0.042984
0.464000	0.057399
0.465000	0.071875
0.466000	0.086397
0.467000	0.100953
0.468000	0.115529
0.469000	0.130112
0.470000	0.144688
0.471000	0.159243
0.472000	0.173765
0.473000	0.188240
0.474000	0.202654
0.475000	0.216995
0.476000	0.231249
0.477000	0.245402
0.478000	0.259442
0.479000	0.273357
0.480000	0.287132
0.481000	0.300755
0.482000	0.314214
0.483000	0.327497
0.484000	0.340590
0.485000	0.353483
0.486000	0.366162
0.487000	0.378617
0.488000	0.390835
0.489000	0.402806
0.490000	0.414518
0.491000	0.425961
0.492000	0.437123
0.493000	0.447995
0.494000	0.458567
0.495000	0.468828
0.496000	0.478769
0.497000	0.488381
0.498000	0.497655
0.499000	0.506582
0.500000	0.515154
0.501000	0.523363
0.502000	0.531201
0.503000	0.538661
0.504000	0.545736
0.505000	0.552418
0.506000	0.558703
0.507000	0.564584
0.508000	0.570054
0.509000	0.575110
0.510000	0.579746
0.511000	0.583958
0.512000	0.587742
0.513000	0.591093
0.514000	0.594009
0.515000	0.596487
0.516000	0.598525
0.517000	0.600119
0.518000	0.601269
0.519000	0.601973
0.520000	0.602230
0.521000	0.602039
0.522000	0.601401
0.523000	0.600316
0.524000	0.598785
0.525000	0.596808
0.526000	0.594387
0.527000	0.591524
0.528000	0.588222
0.529000	0.584482
0.530000	0.580309
0.531000	0.575705
0.532000	0.570675
0.533000	0.565222
0.534000	0.559352
0.535000	0.553069
0.536000	0.546378
0.537000	0.539287
0.538000	0.531799
0.539000	0.523923
0.540000	0.515665
0.541000	0.507031
0.542000	0.498031
0.543000	0.488670
0.544000	0.478958
0.545000	0.468903
0.546000	0.458514
0.547000	0.447800
0.548000	0.436770
0.549000	0.425434
0.550000	0.413802
0.551000	0.401883
0.552000	0.389690
0.553000	0.377231
0.554000	0.364519
0.555000	0.351564
0.556000	0.338378
0.557000	0.324973
0.558000	0.311359
0.559000	0.297550
0.560000	0.283557
0.561000	0.269393
0.562000	0.255070
0.563000	0.240601
0.564000	0.225998
0.565000	0.211275
0.566000	0.196445
0.567000	0.181520
0.568000	0.166514
0.569000	0.151440
0.570000	0.136311
0.571000	0.121141
0.572000	0.105943
0.573000	0.090731
0.574000	0.075518
0.575000	0.060317
0.576000	0.045143
0.577000	0.030007
0.578000	0.014925
0.579000	-0.000092
0.580000	-0.015029
0.581000	-0.029874
0.582000	-0.044613
0.583000	-0.059234
0.584000	-0.073723
0.585000	-0.088067
0.586000	-0.102255
0.587000	-0.116272
0.588000	-0.130108
0.589000	-0.143750
0.590000	-0.157185
0.591000	-0.170402
0.592000	-0.183390
0.593000	-0.196136
0.594000	-0.208629
0.595000	-0.220860
0.596000	-0.232815
0.597000	-0.244486
0.598000	-0.255862
0.599000	-0.266933
