
Método de Euler Implícito: 
x	y
0.000000	0.000000
0.001000	0.019900
0.002000	0.039702
0.003000	0.059405
0.004000	0.079010
0.005000	0.098517
0.006000	0.117928
0.007000	0.137241
0.008000	0.156459
0.009000	0.175581
0.010000	0.194608
0.011000	0.213541
0.012000	0.232379
0.013000	0.251123
0.014000	0.269774
0.015000	0.288332
0.016000	0.306799
0.017000	0.325173
0.018000	0.343455
0.019000	0.361647
0.020000	0.379748
0.021000	0.397760
0.022000	0.415681
0.023000	0.433514
0.024000	0.451257
0.025000	0.468913
0.026000	0.486480
0.027000	0.503961
0.028000	0.521354
0.029000	0.538660
0.030000	0.555881
0.031000	0.573016
0.032000	0.590066
0.033000	0.607031
0.034000	0.623911
0.035000	0.640707
0.036000	0.657420
0.037000	0.674050
0.038000	0.690597
0.039000	0.707062
0.040000	0.723445
0.041000	0.739746
0.042000	0.755966
0.043000	0.772105
0.044000	0.788165
0.045000	0.804144
0.046000	0.820044
0.047000	0.835864
0.048000	0.851606
0.049000	0.867270
0.050000	0.882856
0.051000	0.898364
0.052000	0.913795
0.053000	0.929149
0.054000	0.944427
0.055000	0.959629
0.056000	0.974755
0.057000	0.989806
0.058000	1.004782
0.059000	1.019684
0.060000	1.034511
0.061000	1.049265
0.062000	1.063945
0.063000	1.078552
0.064000	1.093087
0.065000	1.107549
0.066000	1.121940
0.067000	1.136258
0.068000	1.150506
0.069000	1.164682
0.070000	1.178788
0.071000	1.192824
0.072000	1.206790
0.073000	1.220687
0.074000	1.234514
0.075000	1.248273
0.076000	1.261963
0.077000	1.275585
0.078000	1.289139
0.079000	1.302626
0.080000	1.316046
0.081000	1.329399
0.082000	1.342686
0.083000	1.355906
0.084000	1.369061
0.085000	1.382150
0.086000	1.395174
0.087000	1.408134
0.088000	1.421028
0.089000	1.433859
0.090000	1.446626
0.091000	1.459329
0.092000	1.471969
0.093000	1.484547
0.094000	1.497061
0.095000	1.509514
0.096000	1.521904
0.097000	1.534233
0.098000	1.546501
0.099000	1.558707
0.100000	1.570853
0.101000	1.582938
0.102000	1.594963
0.103000	1.606929
0.104000	1.618835
0.105000	1.630681
0.106000	1.642469
0.107000	1.654198
0.108000	1.665868
0.109000	1.677481
0.110000	1.689036
0.111000	1.700533
0.112000	1.711973
0.113000	1.723357
0.114000	1.734683
0.115000	1.745953
0.116000	1.757168
0.117000	1.768326
0.118000	1.779429
0.119000	1.790476
0.120000	1.801469
0.121000	1.812407
0.122000	1.823291
0.123000	1.834120
0.124000	1.844896
0.125000	1.855617
0.126000	1.866286
0.127000	1.876901
0.128000	1.887464
0.129000	1.897974
0.130000	1.908432
0.131000	1.918838
0.132000	1.929192
0.133000	1.939495
0.134000	1.949746
0.135000	1.959946
0.136000	1.970096
0.137000	1.980195
0.138000	1.990243
0.139000	2.000242
0.140000	2.010191
0.141000	2.020091
0.142000	2.029941
0.143000	2.039742
0.144000	2.049495
0.145000	2.059199
0.146000	2.068855
0.147000	2.078462
0.148000	2.088022
0.149000	2.097535
0.150000	2.107000
0.151000	2.116417
0.152000	2.125788
0.153000	2.135113
0.154000	2.144391
0.155000	2.153623
0.156000	2.162809
0.157000	2.171949
0.158000	2.181044
0.159000	2.190093
0.160000	2.199098
0.161000	2.208058
0.162000	2.216973
0.163000	2.225844
0.164000	2.234670
0.165000	2.243453
0.166000	2.252192
0.167000	2.260887
0.168000	2.269540
0.169000	2.278149
0.170000	2.286715
0.171000	2.295239
0.172000	2.303721
0.173000	2.312160
0.174000	2.320557
0.175000	2.328913
0.176000	2.337226
0.177000	2.345499
0.178000	2.353730
0.179000	2.361921
0.180000	2.370070
0.181000	2.378179
0.182000	2.386248
0.183000	2.394277
0.184000	2.402265
0.185000	2.410214
0.186000	2.418124
0.187000	2.425994
0.188000	2.433825
0.189000	2.441617
0.190000	2.449370
0.191000	2.457084
0.192000	2.464761
0.193000	2.472399
0.194000	2.479999
0.195000	2.487561
0.196000	2.495085
0.197000	2.502572
0.198000	2.510022
0.199000	2.517435
0.200000	2.524811
0.201000	2.532150
0.202000	2.539453
0.203000	2.546719
0.204000	2.553950
0.205000	2.561144
0.206000	2.568302
0.207000	2.575425
0.208000	2.582513
0.209000	2.589565
0.210000	2.596582
0.211000	2.603564
0.212000	2.610512
0.213000	2.617425
0.214000	2.624303
0.215000	2.631147
0.216000	2.637958
0.217000	2.644734
0.218000	2.651476
0.219000	2.658186
0.220000	2.664861
0.221000	2.671504
0.222000	2.678113
0.223000	2.684690
0.224000	2.691234
0.225000	2.697745
0.226000	2.704224
0.227000	2.710670
0.228000	2.717085
0.229000	2.723468
0.230000	2.729818
0.231000	2.736138
0.232000	2.742426
0.233000	2.748682
0.234000	2.754908
0.235000	2.761102
0.236000	2.767266
0.237000	2.773399
0.238000	2.779501
0.239000	2.785574
0.240000	2.791615
0.241000	2.797627
0.242000	2.803609
0.243000	2.809561
0.244000	2.815484
0.245000	2.821377
0.246000	2.827241
0.247000	2.833076
0.248000	2.838881
0.249000	2.844658
0.250000	2.850406
0.251000	2.856125
0.252000	2.861816
0.253000	2.867479
0.254000	2.873113
0.255000	2.878720
0.256000	2.884298
0.257000	2.889849
0.258000	2.895372
0.259000	2.900868
0.260000	2.906336
0.261000	2.911777
0.262000	2.917191
0.263000	2.922578
0.264000	2.927939
0.265000	2.933272
0.266000	2.938579
0.267000	2.943860
0.268000	2.949114
0.269000	2.954343
0.270000	2.959545
0.271000	2.964721
0.272000	2.969872
0.273000	2.974997
0.274000	2.980097
0.275000	2.985171
0.276000	2.990220
