
Método de Euler Implícito: 
x	y
0.000000	0.000000
0.001000	0.000449
0.002000	0.001344
0.003000	0.002684
0.004000	0.004466
0.005000	0.006688
0.006000	0.009345
0.007000	0.012435
0.008000	0.015953
0.009000	0.019894
0.010000	0.024254
0.011000	0.029028
0.012000	0.034209
0.013000	0.039792
0.014000	0.045772
0.015000	0.052140
0.016000	0.058890
0.017000	0.066014
0.018000	0.073506
0.019000	0.081356
0.020000	0.089557
0.021000	0.098100
0.022000	0.106976
0.023000	0.116175
0.024000	0.125689
0.025000	0.135507
0.026000	0.145619
0.027000	0.156016
0.028000	0.166685
0.029000	0.177617
0.030000	0.188801
0.031000	0.200225
0.032000	0.211877
0.033000	0.223746
0.034000	0.235820
0.035000	0.248087
0.036000	0.260535
0.037000	0.273151
0.038000	0.285923
0.039000	0.298837
0.040000	0.311882
0.041000	0.325045
0.042000	0.338311
0.043000	0.351669
0.044000	0.365104
0.045000	0.378604
0.046000	0.392155
0.047000	0.405745
0.048000	0.419358
0.049000	0.432983
0.050000	0.446606
0.051000	0.460213
0.052000	0.473791
0.053000	0.487326
0.054000	0.500805
0.055000	0.514216
0.056000	0.527544
0.057000	0.540776
0.058000	0.553900
0.059000	0.566903
0.060000	0.579771
0.061000	0.592493
0.062000	0.605055
0.063000	0.617445
0.064000	0.629650
0.065000	0.641660
0.066000	0.653461
0.067000	0.665042
0.068000	0.676392
0.069000	0.687499
0.070000	0.698352
0.071000	0.708940
0.072000	0.719253
0.073000	0.729281
0.074000	0.739012
0.075000	0.748438
0.076000	0.757548
0.077000	0.766334
0.078000	0.774787
0.079000	0.782898
0.080000	0.790657
0.081000	0.798059
0.082000	0.805094
0.083000	0.811756
0.084000	0.818036
0.085000	0.823930
0.086000	0.829430
0.087000	0.834530
0.088000	0.839224
0.089000	0.843508
0.090000	0.847377
0.091000	0.850826
0.092000	0.853850
0.093000	0.856447
0.094000	0.858612
0.095000	0.860343
0.096000	0.861637
0.097000	0.862493
0.098000	0.862908
0.099000	0.862880
0.100000	0.862410
0.101000	0.861496
0.102000	0.860138
0.103000	0.858336
0.104000	0.856092
0.105000	0.853406
0.106000	0.850279
0.107000	0.846713
0.108000	0.842712
0.109000	0.838276
0.110000	0.833409
0.111000	0.828116
0.112000	0.822398
0.113000	0.816262
0.114000	0.809710
0.115000	0.802749
0.116000	0.795383
0.117000	0.787618
0.118000	0.779460
0.119000	0.770916
0.120000	0.761993
0.121000	0.752696
0.122000	0.743035
0.123000	0.733016
0.124000	0.722647
0.125000	0.711938
0.126000	0.700897
0.127000	0.689532
0.128000	0.677853
0.129000	0.665871
0.130000	0.653593
0.131000	0.641032
0.132000	0.628196
0.133000	0.615098
0.134000	0.601746
0.135000	0.588154
0.136000	0.574332
0.137000	0.560291
0.138000	0.546044
0.139000	0.531602
0.140000	0.516977
0.141000	0.502183
0.142000	0.487230
0.143000	0.472132
0.144000	0.456901
0.145000	0.441551
0.146000	0.426093
0.147000	0.410542
0.148000	0.394911
0.149000	0.379211
0.150000	0.363458
0.151000	0.347664
0.152000	0.331842
0.153000	0.316006
0.154000	0.300170
0.155000	0.284346
0.156000	0.268548
0.157000	0.252790
0.158000	0.237084
0.159000	0.221445
0.160000	0.205885
0.161000	0.190417
0.162000	0.175055
0.163000	0.159812
0.164000	0.144700
0.165000	0.129732
0.166000	0.114921
0.167000	0.100280
0.168000	0.085820
0.169000	0.071554
0.170000	0.057495
0.171000	0.043653
0.172000	0.030040
0.173000	0.016669
0.174000	0.003550
0.175000	-0.009306
0.176000	-0.021889
0.177000	-0.034186
0.178000	-0.046189
0.179000	-0.057887
0.180000	-0.069271
0.181000	-0.080331
0.182000	-0.091057
0.183000	-0.101442
0.184000	-0.111476
0.185000	-0.121151
0.186000	-0.130459
0.187000	-0.139393
0.188000	-0.147946
0.189000	-0.156110
0.190000	-0.163878
0.191000	-0.171245
0.192000	-0.178205
0.193000	-0.184753
0.194000	-0.190882
0.195000	-0.196589
0.196000	-0.201868
0.197000	-0.206717
0.198000	-0.211131
0.199000	-0.215107
0.200000	-0.218642
0.201000	-0.221734
0.202000	-0.224381
0.203000	-0.226581
0.204000	-0.228333
0.205000	-0.229636
0.206000	-0.230490
0.207000	-0.230894
0.208000	-0.230849
0.209000	-0.230356
0.210000	-0.229415
0.211000	-0.228029
0.212000	-0.226199
0.213000	-0.223929
0.214000	-0.221219
0.215000	-0.218074
0.216000	-0.214497
0.217000	-0.210493
0.218000	-0.206065
0.219000	-0.201218
0.220000	-0.195957
0.221000	-0.190287
0.222000	-0.184215
0.223000	-0.177747
0.224000	-0.170888
0.225000	-0.163646
0.226000	-0.156029
0.227000	-0.148043
0.228000	-0.139697
0.229000	-0.130998
0.230000	-0.121956
0.231000	-0.112578
0.232000	-0.102875
0.233000	-0.092855
0.234000	-0.082528
0.235000	-0.071905
0.236000	-0.060995
0.237000	-0.049809
0.238000	-0.038358
0.239000	-0.026652
0.240000	-0.014703
0.241000	-0.002522
0.242000	0.009880
0.243000	0.022489
0.244000	0.035295
0.245000	0.048285
0.246000	0.061447
0.247000	0.074769
0.248000	0.088237
0.249000	0.101839
0.250000	0.115562
0.251000	0.129394
0.252000	0.143320
0.253000	0.157329
0.254000	0.171406
0.255000	0.185538
0.256000	0.199713
0.257000	0.213916
0.258000	0.228134
0.259000	0.242354
0.260000	0.256562
0.261000	0.270746
0.262000	0.284891
0.263000	0.298984
0.264000	0.313012
0.265000	0.326963
0.266000	0.340821
0.267000	0.354575
0.268000	0.368212
0.269000	0.381718
0.270000	0.395081
0.271000	0.408288
0.272000	0.421328
0.273000	0.434186
0.274000	0.446852
0.275000	0.459313
0.276000	0.471558
0.277000	0.483574
0.278000	0.495351
0.279000	0.506877
0.280000	0.518142
0.281000	0.529134
0.282000	0.539843
0.283000	0.550260
0.284000	0.560373
0.285000	0.570173
0.286000	0.579652
0.287000	0.588799
0.288000	0.597606
0.289000	0.606065
0.290000	0.614167
0.291000	0.621904
0.292000	0.629270
0.293000	0.636256
0.294000	0.642856
0.295000	0.649064
0.296000	0.654873
0.297000	0.660277
0.298000	0.665271
0.299000	0.669851
